side,row,col,char
RIGHT,1,2,R
RIGHT,1,3,Y
RIGHT,1,4,P
RIGHT,1,5,T
RIGHT,1,6,O
RIGHT,1,7,S
RIGHT,1,8,A
RIGHT,1,9,B
RIGHT,1,10,C
RIGHT,1,11,D
RIGHT,1,12,E
RIGHT,1,13,F
RIGHT,1,14,G
RIGHT,1,15,H
RIGHT,1,16,I
RIGHT,1,17,J
RIGHT,1,18,L
RIGHT,1,19,M
RIGHT,1,20,N
RIGHT,1,21,Q
RIGHT,1,22,U
RIGHT,1,23,V
RIGHT,1,24,W
RIGHT,1,25,X
RIGHT,1,26,Z
RIGHT,1,27,K
RIGHT,1,28,R
RIGHT,1,29,Y
RIGHT,1,30,P
RIGHT,2,0,B
RIGHT,2,1,R
RIGHT,2,2,Y
RIGHT,2,3,P
RIGHT,2,4,T
RIGHT,2,5,O
RIGHT,2,6,S
RIGHT,2,7,A
RIGHT,2,8,B
RIGHT,2,9,C
RIGHT,2,10,D
RIGHT,2,11,E
RIGHT,2,12,F
RIGHT,2,13,G
RIGHT,2,14,H
RIGHT,2,15,I
RIGHT,2,16,J
RIGHT,2,17,L
RIGHT,2,18,M
RIGHT,2,19,N
RIGHT,2,20,Q
RIGHT,2,21,U
RIGHT,2,22,V
RIGHT,2,23,W
RIGHT,2,24,X
RIGHT,2,25,Z
RIGHT,2,26,K
RIGHT,2,27,R
RIGHT,2,28,Y
RIGHT,2,29,P
RIGHT,2,30,T
RIGHT,3,0,C
RIGHT,3,1,Y
RIGHT,3,2,P
RIGHT,3,3,T
RIGHT,3,4,O
RIGHT,3,5,S
RIGHT,3,6,A
RIGHT,3,7,B
RIGHT,3,8,C
RIGHT,3,9,D
RIGHT,3,10,E
RIGHT,3,11,F
RIGHT,3,12,G
RIGHT,3,13,H
RIGHT,3,14,I
RIGHT,3,15,J
RIGHT,3,16,L
RIGHT,3,17,M
RIGHT,3,18,N
RIGHT,3,19,Q
RIGHT,3,20,U
RIGHT,3,21,V
RIGHT,3,22,W
RIGHT,3,23,X
RIGHT,3,24,Z
RIGHT,3,25,K
RIGHT,3,26,R
RIGHT,3,27,Y
RIGHT,3,28,P
RIGHT,3,29,T
RIGHT,3,30,O
RIGHT,4,0,D
RIGHT,4,1,P
RIGHT,4,2,T
RIGHT,4,3,O
RIGHT,4,4,S
RIGHT,4,5,A
RIGHT,4,6,B
RIGHT,4,7,C
RIGHT,4,8,D
RIGHT,4,9,E
RIGHT,4,10,F
RIGHT,4,11,G
RIGHT,4,12,H
RIGHT,4,13,I
RIGHT,4,14,J
RIGHT,4,15,L
RIGHT,4,16,M
RIGHT,4,17,N
RIGHT,4,18,Q
RIGHT,4,19,U
RIGHT,4,20,V
RIGHT,4,21,W
RIGHT,4,22,X
RIGHT,4,23,Z
RIGHT,4,24,K
RIGHT,4,25,R
RIGHT,4,26,Y
RIGHT,4,27,P
RIGHT,4,28,T
RIGHT,4,29,O
RIGHT,4,30,S
RIGHT,5,0,E
RIGHT,5,1,T
RIGHT,5,2,O
RIGHT,5,3,S
RIGHT,5,4,A
RIGHT,5,5,B
RIGHT,5,6,C
RIGHT,5,7,D
RIGHT,5,8,E
RIGHT,5,9,F
RIGHT,5,10,G
RIGHT,5,11,H
RIGHT,5,12,I
RIGHT,5,13,J
RIGHT,5,14,L
RIGHT,5,15,M
RIGHT,5,16,N
RIGHT,5,17,Q
RIGHT,5,18,U
RIGHT,5,19,V
RIGHT,5,20,W
RIGHT,5,21,X
RIGHT,5,22,Z
RIGHT,5,23,K
RIGHT,5,24,R
RIGHT,5,25,Y
RIGHT,5,26,P
RIGHT,5,27,T
RIGHT,5,28,O
RIGHT,5,29,S
RIGHT,5,30,A
RIGHT,6,0,F
RIGHT,6,1,O
RIGHT,6,2,S
RIGHT,6,3,A
RIGHT,6,4,B
RIGHT,6,5,C
RIGHT,6,6,D
RIGHT,6,7,E
RIGHT,6,8,F
RIGHT,6,9,G
RIGHT,6,10,H
RIGHT,6,11,I
RIGHT,6,12,J
RIGHT,6,13,L
RIGHT,6,14,M
RIGHT,6,15,N
RIGHT,6,16,Q
RIGHT,6,17,U
RIGHT,6,18,V
RIGHT,6,19,W
RIGHT,6,20,X
RIGHT,6,21,Z
RIGHT,6,22,K
RIGHT,6,23,R
RIGHT,6,24,Y
RIGHT,6,25,P
RIGHT,6,26,T
RIGHT,6,27,O
RIGHT,6,28,S
RIGHT,6,29,A
RIGHT,6,30,B
RIGHT,7,0,G
RIGHT,7,1,S
RIGHT,7,2,A
RIGHT,7,3,B
RIGHT,7,4,C
RIGHT,7,5,D
RIGHT,7,6,E
RIGHT,7,7,F
RIGHT,7,8,G
RIGHT,7,9,H
RIGHT,7,10,I
RIGHT,7,11,J
RIGHT,7,12,L
RIGHT,7,13,M
RIGHT,7,14,N
RIGHT,7,15,Q
RIGHT,7,16,U
RIGHT,7,17,V
RIGHT,7,18,W
RIGHT,7,19,X
RIGHT,7,20,Z
RIGHT,7,21,K
RIGHT,7,22,R
RIGHT,7,23,Y
RIGHT,7,24,P
RIGHT,7,25,T
RIGHT,7,26,O
RIGHT,7,27,S
RIGHT,7,28,A
RIGHT,7,29,B
RIGHT,7,30,C
RIGHT,8,0,H
RIGHT,8,1,A
RIGHT,8,2,B
RIGHT,8,3,C
RIGHT,8,4,D
RIGHT,8,5,E
RIGHT,8,6,F
RIGHT,8,7,G
RIGHT,8,8,H
RIGHT,8,9,I
RIGHT,8,10,J
RIGHT,8,11,L
RIGHT,8,12,M
RIGHT,8,13,N
RIGHT,8,14,Q
RIGHT,8,15,U
RIGHT,8,16,V
RIGHT,8,17,W
RIGHT,8,18,X
RIGHT,8,19,Z
RIGHT,8,20,K
RIGHT,8,21,R
RIGHT,8,22,Y
RIGHT,8,23,P
RIGHT,8,24,T
RIGHT,8,25,O
RIGHT,8,26,S
RIGHT,8,27,A
RIGHT,8,28,B
RIGHT,8,29,C
RIGHT,8,30,D
RIGHT,9,0,I
RIGHT,9,1,B
RIGHT,9,2,C
RIGHT,9,3,D
RIGHT,9,4,E
RIGHT,9,5,F
RIGHT,9,6,G
RIGHT,9,7,H
RIGHT,9,8,I
RIGHT,9,9,J
RIGHT,9,10,L
RIGHT,9,11,M
RIGHT,9,12,N
RIGHT,9,13,Q
RIGHT,9,14,U
RIGHT,9,15,V
RIGHT,9,16,W
RIGHT,9,17,X
RIGHT,9,18,Z
RIGHT,9,19,K
RIGHT,9,20,R
RIGHT,9,21,Y
RIGHT,9,22,P
RIGHT,9,23,T
RIGHT,9,24,O
RIGHT,9,25,S
RIGHT,9,26,A
RIGHT,9,27,B
RIGHT,9,28,C
RIGHT,9,29,D
RIGHT,9,30,E
RIGHT,10,0,J
RIGHT,10,1,C
RIGHT,10,2,D
RIGHT,10,3,E
RIGHT,10,4,F
RIGHT,10,5,G
RIGHT,10,6,H
RIGHT,10,7,I
RIGHT,10,8,J
RIGHT,10,9,L
RIGHT,10,10,M
RIGHT,10,11,N
RIGHT,10,12,Q
RIGHT,10,13,U
RIGHT,10,14,V
RIGHT,10,15,W
RIGHT,10,16,X
RIGHT,10,17,Z
RIGHT,10,18,K
RIGHT,10,19,R
RIGHT,10,20,Y
RIGHT,10,21,P
RIGHT,10,22,T
RIGHT,10,23,O
RIGHT,10,24,S
RIGHT,10,25,A
RIGHT,10,26,B
RIGHT,10,27,C
RIGHT,10,28,D
RIGHT,10,29,E
RIGHT,10,30,F
RIGHT,11,0,K
RIGHT,11,1,D
RIGHT,11,2,E
RIGHT,11,3,F
RIGHT,11,4,G
RIGHT,11,5,H
RIGHT,11,6,I
RIGHT,11,7,J
RIGHT,11,8,L
RIGHT,11,9,M
RIGHT,11,10,N
RIGHT,11,11,Q
RIGHT,11,12,U
RIGHT,11,13,V
RIGHT,11,14,W
RIGHT,11,15,X
RIGHT,11,16,Z
RIGHT,11,17,K
RIGHT,11,18,R
RIGHT,11,19,Y
RIGHT,11,20,P
RIGHT,11,21,T
RIGHT,11,22,O
RIGHT,11,23,S
RIGHT,11,24,A
RIGHT,11,25,B
RIGHT,11,26,C
RIGHT,11,27,D
RIGHT,11,28,E
RIGHT,11,29,F
RIGHT,11,30,G
RIGHT,12,0,L
RIGHT,12,1,E
RIGHT,12,2,F
RIGHT,12,3,G
RIGHT,12,4,H
RIGHT,12,5,I
RIGHT,12,6,J
RIGHT,12,7,L
RIGHT,12,8,M
RIGHT,12,9,N
RIGHT,12,10,Q
RIGHT,12,11,U
RIGHT,12,12,V
RIGHT,12,13,W
RIGHT,12,14,X
RIGHT,12,15,Z
RIGHT,12,16,K
RIGHT,12,17,R
RIGHT,12,18,Y
RIGHT,12,19,P
RIGHT,12,20,T
RIGHT,12,21,O
RIGHT,12,22,S
RIGHT,12,23,A
RIGHT,12,24,B
RIGHT,12,25,C
RIGHT,12,26,D
RIGHT,12,27,E
RIGHT,12,28,F
RIGHT,12,29,G
RIGHT,12,30,H
RIGHT,13,0,M
RIGHT,13,1,F
RIGHT,13,2,G
RIGHT,13,3,H
RIGHT,13,4,I
RIGHT,13,5,J
RIGHT,13,6,L
RIGHT,13,7,M
RIGHT,13,8,N
RIGHT,13,9,Q
RIGHT,13,10,U
RIGHT,13,11,V
RIGHT,13,12,W
RIGHT,13,13,X
RIGHT,13,14,Z
RIGHT,13,15,K
RIGHT,13,16,R
RIGHT,13,17,Y
RIGHT,13,18,P
RIGHT,13,19,T
RIGHT,13,20,O
RIGHT,13,21,S
RIGHT,13,22,A
RIGHT,13,23,B
RIGHT,13,24,C
RIGHT,13,25,D
RIGHT,13,26,E
RIGHT,13,27,F
RIGHT,13,28,G
RIGHT,13,29,H
RIGHT,13,30,I
RIGHT,14,0,N
RIGHT,14,1,G
RIGHT,14,2,H
RIGHT,14,3,I
RIGHT,14,4,J
RIGHT,14,5,L
RIGHT,14,6,M
RIGHT,14,7,N
RIGHT,14,8,Q
RIGHT,14,9,U
RIGHT,14,10,V
RIGHT,14,11,W
RIGHT,14,12,X
RIGHT,14,13,Z
RIGHT,14,14,K
RIGHT,14,15,R
RIGHT,14,16,Y
RIGHT,14,17,P
RIGHT,14,18,T
RIGHT,14,19,O
RIGHT,14,20,S
RIGHT,14,21,A
RIGHT,14,22,B
RIGHT,14,23,C
RIGHT,14,24,D
RIGHT,14,25,E
RIGHT,14,26,F
RIGHT,14,27,G
RIGHT,14,28,H
RIGHT,14,29,I
RIGHT,14,30,J
RIGHT,14,31,L
RIGHT,15,0,O
RIGHT,15,1,H
RIGHT,15,2,I
RIGHT,15,3,J
RIGHT,15,4,L
RIGHT,15,5,M
RIGHT,15,6,N
RIGHT,15,7,Q
RIGHT,15,8,U
RIGHT,15,9,V
RIGHT,15,10,W
RIGHT,15,11,X
RIGHT,15,12,Z
RIGHT,15,13,K
RIGHT,15,14,R
RIGHT,15,15,Y
RIGHT,15,16,P
RIGHT,15,17,T
RIGHT,15,18,O
RIGHT,15,19,S
RIGHT,15,20,A
RIGHT,15,21,B
RIGHT,15,22,C
RIGHT,15,23,D
RIGHT,15,24,E
RIGHT,15,25,F
RIGHT,15,26,G
RIGHT,15,27,H
RIGHT,15,28,I
RIGHT,15,29,J
RIGHT,15,30,L
RIGHT,16,0,P
RIGHT,16,1,I
RIGHT,16,2,J
RIGHT,16,3,L
RIGHT,16,4,M
RIGHT,16,5,N
RIGHT,16,6,Q
RIGHT,16,7,U
RIGHT,16,8,V
RIGHT,16,9,W
RIGHT,16,10,X
RIGHT,16,11,Z
RIGHT,16,12,K
RIGHT,16,13,R
RIGHT,16,14,Y
RIGHT,16,15,P
RIGHT,16,16,T
RIGHT,16,17,O
RIGHT,16,18,S
RIGHT,16,19,A
RIGHT,16,20,B
RIGHT,16,21,C
RIGHT,16,22,D
RIGHT,16,23,E
RIGHT,16,24,F
RIGHT,16,25,G
RIGHT,16,26,H
RIGHT,16,27,I
RIGHT,16,28,J
RIGHT,16,29,L
RIGHT,16,30,M
RIGHT,17,0,Q
RIGHT,17,1,J
RIGHT,17,2,L
RIGHT,17,3,M
RIGHT,17,4,N
RIGHT,17,5,Q
RIGHT,17,6,U
RIGHT,17,7,V
RIGHT,17,8,W
RIGHT,17,9,X
RIGHT,17,10,Z
RIGHT,17,11,K
RIGHT,17,12,R
RIGHT,17,13,Y
RIGHT,17,14,P
RIGHT,17,15,T
RIGHT,17,16,O
RIGHT,17,17,S
RIGHT,17,18,A
RIGHT,17,19,B
RIGHT,17,20,C
RIGHT,17,21,D
RIGHT,17,22,E
RIGHT,17,23,F
RIGHT,17,24,G
RIGHT,17,25,H
RIGHT,17,26,I
RIGHT,17,27,J
RIGHT,17,28,L
RIGHT,17,29,M
RIGHT,17,30,N
RIGHT,18,0,R
RIGHT,18,1,L
RIGHT,18,2,M
RIGHT,18,3,N
RIGHT,18,4,Q
RIGHT,18,5,U
RIGHT,18,6,V
RIGHT,18,7,W
RIGHT,18,8,X
RIGHT,18,9,Z
RIGHT,18,10,K
RIGHT,18,11,R
RIGHT,18,12,Y
RIGHT,18,13,P
RIGHT,18,14,T
RIGHT,18,15,O
RIGHT,18,16,S
RIGHT,18,17,A
RIGHT,18,18,B
RIGHT,18,19,C
RIGHT,18,20,D
RIGHT,18,21,E
RIGHT,18,22,F
RIGHT,18,23,G
RIGHT,18,24,H
RIGHT,18,25,I
RIGHT,18,26,J
RIGHT,18,27,L
RIGHT,18,28,M
RIGHT,18,29,N
RIGHT,18,30,Q
RIGHT,19,0,S
RIGHT,19,1,M
RIGHT,19,2,N
RIGHT,19,3,Q
RIGHT,19,4,U
RIGHT,19,5,V
RIGHT,19,6,W
RIGHT,19,7,X
RIGHT,19,8,Z
RIGHT,19,9,K
RIGHT,19,10,R
RIGHT,19,11,Y
RIGHT,19,12,P
RIGHT,19,13,T
RIGHT,19,14,O
RIGHT,19,15,S
RIGHT,19,16,A
RIGHT,19,17,B
RIGHT,19,18,C
RIGHT,19,19,D
RIGHT,19,20,E
RIGHT,19,21,F
RIGHT,19,22,G
RIGHT,19,23,H
RIGHT,19,24,I
RIGHT,19,25,J
RIGHT,19,26,L
RIGHT,19,27,M
RIGHT,19,28,N
RIGHT,19,29,Q
RIGHT,19,30,U
RIGHT,20,0,T
RIGHT,20,1,N
RIGHT,20,2,Q
RIGHT,20,3,U
RIGHT,20,4,V
RIGHT,20,5,W
RIGHT,20,6,X
RIGHT,20,7,Z
RIGHT,20,8,K
RIGHT,20,9,R
RIGHT,20,10,Y
RIGHT,20,11,P
RIGHT,20,12,T
RIGHT,20,13,O
RIGHT,20,14,S
RIGHT,20,15,A
RIGHT,20,16,B
RIGHT,20,17,C
RIGHT,20,18,D
RIGHT,20,19,E
RIGHT,20,20,F
RIGHT,20,21,G
RIGHT,20,22,H
RIGHT,20,23,I
RIGHT,20,24,J
RIGHT,20,25,L
RIGHT,20,26,M
RIGHT,20,27,N
RIGHT,20,28,Q
RIGHT,20,29,U
RIGHT,20,30,V
RIGHT,21,0,U
RIGHT,21,1,Q
RIGHT,21,2,U
RIGHT,21,3,V
RIGHT,21,4,W
RIGHT,21,5,X
RIGHT,21,6,Z
RIGHT,21,7,K
RIGHT,21,8,R
RIGHT,21,9,Y
RIGHT,21,10,P
RIGHT,21,11,T
RIGHT,21,12,O
RIGHT,21,13,S
RIGHT,21,14,A
RIGHT,21,15,B
RIGHT,21,16,C
RIGHT,21,17,D
RIGHT,21,18,E
RIGHT,21,19,F
RIGHT,21,20,G
RIGHT,21,21,H
RIGHT,21,22,I
RIGHT,21,23,J
RIGHT,21,24,L
RIGHT,21,25,M
RIGHT,21,26,N
RIGHT,21,27,Q
RIGHT,21,28,U
RIGHT,21,29,V
RIGHT,21,30,W
RIGHT,22,0,V
RIGHT,22,1,U
RIGHT,22,2,V
RIGHT,22,3,W
RIGHT,22,4,X
RIGHT,22,5,Z
RIGHT,22,6,K
RIGHT,22,7,R
RIGHT,22,8,Y
RIGHT,22,9,P
RIGHT,22,10,T
RIGHT,22,11,O
RIGHT,22,12,S
RIGHT,22,13,A
RIGHT,22,14,B
RIGHT,22,15,C
RIGHT,22,16,D
RIGHT,22,17,E
RIGHT,22,18,F
RIGHT,22,19,G
RIGHT,22,20,H
RIGHT,22,21,I
RIGHT,22,22,J
RIGHT,22,23,L
RIGHT,22,24,M
RIGHT,22,25,N
RIGHT,22,26,Q
RIGHT,22,27,U
RIGHT,22,28,V
RIGHT,22,29,W
RIGHT,22,30,X
RIGHT,23,0,W
RIGHT,23,1,V
RIGHT,23,2,W
RIGHT,23,3,X
RIGHT,23,4,Z
RIGHT,23,5,K
RIGHT,23,6,R
RIGHT,23,7,Y
RIGHT,23,8,P
RIGHT,23,9,T
RIGHT,23,10,O
RIGHT,23,11,S
RIGHT,23,12,A
RIGHT,23,13,B
RIGHT,23,14,C
RIGHT,23,15,D
RIGHT,23,16,E
RIGHT,23,17,F
RIGHT,23,18,G
RIGHT,23,19,H
RIGHT,23,20,I
RIGHT,23,21,J
RIGHT,23,22,L
RIGHT,23,23,M
RIGHT,23,24,N
RIGHT,23,25,Q
RIGHT,23,26,U
RIGHT,23,27,V
RIGHT,23,28,W
RIGHT,23,29,X
RIGHT,23,30,Z
RIGHT,24,0,X
RIGHT,24,1,W
RIGHT,24,2,X
RIGHT,24,3,Z
RIGHT,24,4,K
RIGHT,24,5,R
RIGHT,24,6,Y
RIGHT,24,7,P
RIGHT,24,8,T
RIGHT,24,9,O
RIGHT,24,10,S
RIGHT,24,11,A
RIGHT,24,12,B
RIGHT,24,13,C
RIGHT,24,14,D
RIGHT,24,15,E
RIGHT,24,16,F
RIGHT,24,17,G
RIGHT,24,18,H
RIGHT,24,19,I
RIGHT,24,20,J
RIGHT,24,21,L
RIGHT,24,22,M
RIGHT,24,23,N
RIGHT,24,24,Q
RIGHT,24,25,U
RIGHT,24,26,V
RIGHT,24,27,W
RIGHT,24,28,X
RIGHT,24,29,Z
RIGHT,24,30,K
RIGHT,25,0,Y
RIGHT,25,1,X
RIGHT,25,2,Z
RIGHT,25,3,K
RIGHT,25,4,R
RIGHT,25,5,Y
RIGHT,25,6,P
RIGHT,25,7,T
RIGHT,25,8,O
RIGHT,25,9,S
RIGHT,25,10,A
RIGHT,25,11,B
RIGHT,25,12,C
RIGHT,25,13,D
RIGHT,25,14,E
RIGHT,25,15,F
RIGHT,25,16,G
RIGHT,25,17,H
RIGHT,25,18,I
RIGHT,25,19,J
RIGHT,25,20,L
RIGHT,25,21,M
RIGHT,25,22,N
RIGHT,25,23,Q
RIGHT,25,24,U
RIGHT,25,25,V
RIGHT,25,26,W
RIGHT,25,27,X
RIGHT,25,28,Z
RIGHT,25,29,K
RIGHT,25,30,R
RIGHT,26,0,Z
RIGHT,26,1,Z
RIGHT,26,2,K
RIGHT,26,3,R
RIGHT,26,4,Y
RIGHT,26,5,P
RIGHT,26,6,T
RIGHT,26,7,O
RIGHT,26,8,S
RIGHT,26,9,A
RIGHT,26,10,B
RIGHT,26,11,C
RIGHT,26,12,D
RIGHT,26,13,E
RIGHT,26,14,F
RIGHT,26,15,G
RIGHT,26,16,H
RIGHT,26,17,I
RIGHT,26,18,J
RIGHT,26,19,L
RIGHT,26,20,M
RIGHT,26,21,N
RIGHT,26,22,Q
RIGHT,26,23,U
RIGHT,26,24,V
RIGHT,26,25,W
RIGHT,26,26,X
RIGHT,26,27,Z
RIGHT,26,28,K
RIGHT,26,29,R
RIGHT,26,30,Y
RIGHT,27,0,A
RIGHT,27,1,B
RIGHT,27,2,C
RIGHT,27,3,D
RIGHT,27,4,E
RIGHT,27,5,F
RIGHT,27,6,G
RIGHT,27,7,H
RIGHT,27,8,I
RIGHT,27,9,J
RIGHT,27,10,K
RIGHT,27,11,L
RIGHT,27,12,M
RIGHT,27,13,N
RIGHT,27,14,O
RIGHT,27,15,P
RIGHT,27,16,Q
RIGHT,27,17,R
RIGHT,27,18,S
RIGHT,27,19,T
RIGHT,27,20,U
RIGHT,27,21,V
RIGHT,27,22,W
RIGHT,27,23,X
RIGHT,27,24,Y
RIGHT,27,25,Z
RIGHT,27,26,A
RIGHT,27,27,B
RIGHT,27,28,C
RIGHT,27,29,D
