label,seed_u64,arm,fw_post,verb_post,cov_post,pattern_post,delta_windowed_min,delta_shuffled,passed_head_gate,passed_deltas,leakage_diff
HEAD_00,1975402098572957550,B,16,2,0.8571428571428571,True,0.3148946535135795,0.15744732675678974,1,1,0.0
HEAD_01,13460563473273333777,B,19,3,0.8857142857142857,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_02,3950149287242314772,B,19,3,0.8666666666666667,True,0.2975378787878791,0.14876893939393954,1,1,0.0
HEAD_03,13776871397737721034,B,9,3,0.85,True,0.39504643962848274,0.19752321981424137,0,1,0.0
HEAD_04,15511068292415480193,B,16,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_05,2922814630681453225,B,13,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_06,16833068982366365622,B,21,3,0.8857142857142857,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_07,13093165621624778819,B,15,2,0.8518518518518519,True,0.35388471177944814,0.17694235588972407,1,1,0.0
HEAD_08,10815399083731120431,B,14,3,0.8709677419354839,True,0.2975378787878791,0.14876893939393954,1,1,0.0
HEAD_09,10347509652114435445,B,18,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_10,826317727972303153,B,15,3,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_11,16941210253936338097,B,21,3,0.8888888888888888,True,0.32771672771672744,0.16385836385836372,1,1,0.0
HEAD_12,5425356122684808648,B,15,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_13,12039931183824672265,B,10,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_14,7940465571352179079,B,14,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_15,6770422667288037831,B,18,2,0.8666666666666667,True,0.3884469696969699,0.19422348484848495,1,1,0.0
HEAD_16,13470124672769208408,B,15,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_17,2913821652081449598,B,18,4,0.8666666666666667,True,0.28901515151515156,0.14450757575757578,1,1,0.0
HEAD_18,7868373126219719948,B,22,3,0.8823529411764706,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_19,13924051287747377235,B,20,2,0.875,True,0.368231884057971,0.1841159420289855,1,1,0.0
HEAD_20,13148033676609627799,B,15,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_21,2644515999935403085,B,16,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_22,11339605460005497507,B,13,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_23,11932419314105630688,B,13,2,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_24,5851794905893938905,B,15,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_25,6722617410761508978,B,13,2,0.85,True,0.3994871794871795,0.19974358974358974,1,1,0.0
HEAD_26,10478662413217194186,B,18,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_27,7367615021488155628,B,14,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_28,6889758647716654504,B,21,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_29,890696704844860377,B,13,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_30,8748203877846751005,B,15,2,0.8571428571428571,True,0.3429924242424245,0.17149621212121224,1,1,0.0
HEAD_31,13960285862306881115,B,21,2,0.875,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_32,17834609683462753083,B,14,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_33,397049846576534302,B,15,3,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_34,10068894256177647060,B,18,3,0.8666666666666667,True,0.35859213250517596,0.17929606625258798,1,1,0.0
HEAD_35,16026486443713661808,B,14,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_36,10486488143344256544,B,22,2,0.8787878787878788,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_37,13118398416653754356,B,16,2,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_38,6811282190982147458,B,18,3,0.8571428571428571,True,0.30101010101010095,0.15050505050505047,1,1,0.0
HEAD_39,13221746601947675737,B,17,2,0.85,True,0.39437054173896247,0.19718527086948123,1,1,0.0
HEAD_40,17964125000071540582,B,16,2,0.8518518518518519,True,0.3733333333333335,0.18666666666666676,1,1,0.0
HEAD_41,4304261876498653604,B,13,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_42,5333355457926779827,B,18,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_43,8596803448041886270,B,14,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_44,15566061185739901712,B,17,2,0.8709677419354839,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_45,5589124774796833804,B,12,2,0.85,True,0.4785714285714282,0.2392857142857141,1,1,0.0
HEAD_46,4512188494912444598,B,16,2,0.85,True,0.4090277777777773,0.20451388888888866,1,1,0.0
HEAD_47,9449819907817827475,B,15,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_48,1979726295375567330,B,24,2,0.8787878787878788,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_49,11472066713682077192,B,14,3,0.8666666666666667,True,0.3864309603440037,0.19321548017200185,1,1,0.0
HEAD_50,16063067471411344649,B,13,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_51,15040549053326765019,B,12,3,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_52,10177912822230589594,B,15,2,0.85,True,0.33011363636363633,0.16505681818181817,1,1,0.0
HEAD_53,17603076224554458774,B,19,3,0.8666666666666667,True,0.37564935064935057,0.18782467532467528,1,1,0.0
HEAD_54,3709587748338003867,B,20,2,0.875,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_55,13436520328784381149,B,12,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_56,14261679247551641220,B,10,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_57,9908423258425526131,B,17,3,0.8709677419354839,True,0.3247536231884056,0.1623768115942028,1,1,0.0
HEAD_58,13441952339482880333,B,10,3,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_59,2679952210823343617,B,23,3,0.8857142857142857,True,0.32771672771672744,0.16385836385836372,1,1,0.0
HEAD_60,3704560471731577377,B,20,3,0.8620689655172413,True,0.3429924242424245,0.17149621212121224,1,1,0.0
HEAD_61,12687477623501816238,B,13,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_62,3071608809210456514,B,10,2,0.85,True,0.39437054173896247,0.19718527086948123,1,1,0.0
HEAD_63,6198068489376064704,B,23,3,0.8857142857142857,True,0.32771672771672744,0.16385836385836372,1,1,0.0
HEAD_64,10550022767777552308,B,13,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_65,17032684378172686841,B,18,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_66,8641653326629709423,B,12,3,0.85,True,0.4785714285714282,0.2392857142857141,1,1,0.0
HEAD_67,919889053464793020,B,16,3,0.8571428571428571,True,0.3733333333333335,0.18666666666666676,1,1,0.0
HEAD_68,9571762051942134205,B,16,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_69,1435903151240975074,B,15,2,0.85,True,0.3733333333333335,0.18666666666666676,1,1,0.0
HEAD_70,12633872019457458812,B,13,2,0.85,True,0.3733333333333335,0.18666666666666676,1,1,0.0
HEAD_71,4421198334163215479,B,16,2,0.8518518518518519,True,0.3733333333333335,0.18666666666666676,1,1,0.0
HEAD_72,3765196963725561204,B,15,3,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_73,11574732928587777735,B,22,3,0.8857142857142857,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_74,6010505499593117633,B,17,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_75,5400495887422900129,B,22,2,0.8857142857142857,True,0.32771672771672744,0.16385836385836372,1,1,0.0
HEAD_76,5181716810684656086,B,16,3,0.8518518518518519,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_77,14743775396288030144,B,12,2,0.85,True,0.31777777777777727,0.15888888888888864,1,1,0.0
HEAD_78,6004256776541533739,B,13,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_79,7742539262912519199,B,21,2,0.875,True,0.368231884057971,0.1841159420289855,1,1,0.0
HEAD_80,7514687245077175576,B,13,1,0.85,True,0.30125313283208,0.15062656641604,1,1,0.0
HEAD_81,16367321412607164581,B,16,2,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_82,655761319597582102,B,9,3,0.85,True,0.25178571428571406,0.12589285714285703,0,1,0.0
HEAD_83,15889494720201329393,B,16,2,0.85,True,0.38599666587282666,0.19299833293641333,1,1,0.0
HEAD_84,3163020126469407733,B,19,3,0.875,True,0.3286751918158566,0.1643375959079283,1,1,0.0
HEAD_85,10950149252481444476,B,11,1,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_86,18244093149286838192,B,21,3,0.8823529411764706,True,0.3308061002178646,0.1654030501089323,1,1,0.0
HEAD_87,558986586380440976,B,12,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_88,12659768916314095843,B,22,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_89,1185322281079792120,B,13,3,0.85,True,0.3803921568627451,0.19019607843137254,1,1,0.0
HEAD_90,4242549432398942103,B,14,3,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_91,18044723854763170728,B,20,2,0.8571428571428571,True,0.3429924242424245,0.17149621212121224,1,1,0.0
HEAD_92,3752907116322186849,B,19,3,0.8709677419354839,True,0.3429924242424245,0.17149621212121224,1,1,0.0
HEAD_93,11684739611460009008,B,18,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_94,13765122100226405156,B,15,3,0.85,True,0.2773993808049533,0.13869969040247665,1,1,0.0
HEAD_95,15186422819184905830,B,19,3,0.8787878787878788,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_96,16781205438106049186,B,14,1,0.85,True,0.31777777777777727,0.15888888888888864,1,1,0.0
HEAD_97,5844712172160492244,B,13,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_98,7395098617241777786,B,19,3,0.8620689655172413,True,0.4196969696969699,0.20984848484848495,1,1,0.0
HEAD_99,13674197184142548486,B,15,3,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_100,5002783831601996121,B,22,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_101,509952041032557105,B,15,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_102,2905133608882683342,B,13,2,0.85,True,0.3803921568627451,0.19019607843137254,1,1,0.0
HEAD_103,9016086496093237766,B,12,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_104,8309678134930398532,B,14,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_105,15635872043649895208,B,18,3,0.8620689655172413,True,0.4010829749960183,0.20054148749800915,1,1,0.0
HEAD_106,10095498845528949575,B,13,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_107,16982571401616645507,B,12,3,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_108,17738394431374077474,B,12,2,0.85,True,0.4785714285714282,0.2392857142857141,1,1,0.0
HEAD_109,2666508343582356389,B,21,3,0.875,True,0.3884469696969699,0.19422348484848495,1,1,0.0
HEAD_110,11150404887570473488,B,12,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_111,7585227431639874781,B,20,2,0.875,True,0.368231884057971,0.1841159420289855,1,1,0.0
HEAD_112,7951751924564741838,B,20,3,0.8857142857142857,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_113,2369580446301742976,B,12,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_114,2808156856356939726,B,14,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_115,15271239905781975224,B,17,3,0.8518518518518519,True,0.3733333333333335,0.18666666666666676,1,1,0.0
HEAD_116,4323268840175407791,B,15,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_117,11588160573822385671,B,16,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_118,955073039185918197,B,15,3,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_119,10148570892255915730,B,21,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_120,12987571212128670414,B,12,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_121,3712378950928793806,B,21,2,0.8787878787878788,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_122,4765048244028916087,B,12,3,0.85,True,0.40714285714285703,0.20357142857142851,1,1,0.0
HEAD_123,867079474513886618,B,13,2,0.85,True,0.4785714285714282,0.2392857142857141,1,1,0.0
HEAD_124,3242728309043727387,B,14,3,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_125,7049546763976344534,B,14,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_126,14425952663795189334,B,10,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_127,1900806575102723336,B,13,3,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_128,11568814396930399901,B,21,3,0.8857142857142857,True,0.3191697191697189,0.15958485958485946,1,1,0.0
HEAD_129,6891483256442036801,B,14,2,0.85,True,0.2301136363636367,0.11505681818181834,1,1,0.0
HEAD_130,8465359163046187283,B,13,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_131,4595425098490074754,B,12,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_132,11367512901930644276,B,13,2,0.85,True,0.31372549019607865,0.15686274509803932,1,1,0.0
HEAD_133,2420025485721422715,B,19,3,0.8787878787878788,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_134,5449398404041477038,B,15,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_135,7689758218473226886,B,13,2,0.85,True,0.5148717948717949,0.25743589743589745,1,1,0.0
HEAD_136,15197339941386720917,B,11,2,0.85,True,0.2773993808049533,0.13869969040247665,1,1,0.0
HEAD_137,5967741321673643544,B,25,3,0.8918918918918919,True,0.31608523223768215,0.15804261611884107,1,1,0.0
HEAD_138,11704810113182018129,B,13,2,0.85,True,0.3803921568627451,0.19019607843137254,1,1,0.0
HEAD_139,17406781302943184782,B,11,2,0.85,True,0.3803921568627451,0.19019607843137254,1,1,0.0
HEAD_140,12858790773684456371,B,16,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_141,6943731162129976418,B,19,2,0.8787878787878788,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_142,12092665662195119440,B,13,3,0.85,True,0.2944444444444443,0.14722222222222214,1,1,0.0
HEAD_143,7331033604599769840,B,19,1,0.85,True,0.2622222222222219,0.13111111111111096,1,1,0.0
HEAD_144,5395465281350314237,B,18,3,0.8620689655172413,True,0.2975378787878791,0.14876893939393954,1,1,0.0
HEAD_145,12177824591728308161,B,17,3,0.8709677419354839,True,0.3884469696969699,0.19422348484848495,1,1,0.0
HEAD_146,9487657556465765117,B,11,2,0.85,True,0.3803921568627455,0.19019607843137276,1,1,0.0
HEAD_147,14336215761553056179,B,11,3,0.85,True,0.4785714285714282,0.2392857142857141,1,1,0.0
HEAD_148,10342622304947170160,B,14,3,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_149,6734376309380850373,B,14,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_150,9771888551556691152,B,20,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_151,9117623933628553510,B,12,2,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_152,17702673184167613438,B,13,3,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_153,11575954436346818596,B,11,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_154,16296050982047341212,B,19,3,0.875,True,0.3286751918158566,0.1643375959079283,1,1,0.0
HEAD_155,14396504223716511810,B,14,2,0.85,True,0.3803921568627451,0.19019607843137254,1,1,0.0
HEAD_156,17592288930943452235,B,15,3,0.8518518518518519,True,0.3733333333333335,0.18666666666666676,1,1,0.0
HEAD_157,10838478525351744713,B,16,3,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_158,3659574998658102677,B,10,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_159,188291926679453090,B,14,2,0.8518518518518519,True,0.3733333333333335,0.18666666666666676,1,1,0.0
HEAD_160,12178605094962726571,B,14,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_161,1888128333267764961,B,20,2,0.8787878787878788,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_162,4652563937008650223,B,11,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_163,7369174304822236825,B,11,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_164,15001867416563736896,B,14,2,0.85,True,0.4785714285714282,0.2392857142857141,1,1,0.0
HEAD_165,7349289281087391795,B,14,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_166,8519525193950314052,B,20,2,0.8787878787878788,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_167,11050506580864500933,B,16,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_168,1447452981742104670,B,14,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_169,13696071684484685327,B,19,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_170,17029188104442674664,B,15,3,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_171,12961895947263042119,B,16,4,0.8571428571428571,True,0.3733333333333335,0.18666666666666676,1,1,0.0
HEAD_172,12842737230361862391,B,20,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_173,7685867934569744175,B,17,2,0.8571428571428571,True,0.35388471177944814,0.17694235588972407,1,1,0.0
HEAD_174,14612157927170912677,B,23,4,0.8857142857142857,True,0.3308061002178646,0.1654030501089323,1,1,0.0
HEAD_175,2467014906838667114,B,12,3,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_176,10173409432377975014,B,11,2,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_177,15561018694826965091,B,11,3,0.85,True,0.2773993808049533,0.13869969040247665,1,1,0.0
HEAD_178,13392670487020134682,B,19,3,0.8857142857142857,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_179,2592959180583622221,B,18,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_180,6867475440411783191,B,12,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_181,11350045829092834592,B,16,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_182,17362915573619545224,B,16,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_183,978369034102846871,B,24,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_184,549684082338817046,B,14,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_185,1057931076727277605,B,11,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_186,11654818156537684423,B,13,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_187,337650120096511631,B,15,3,0.8518518518518519,True,0.3148946535135795,0.15744732675678974,1,1,0.0
HEAD_188,5721613788460315916,B,12,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_189,13900240829804372727,B,12,3,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_190,13362979600866798465,B,12,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_191,753793888342298808,B,7,3,0.85,True,0.40714285714285703,0.20357142857142851,0,1,0.0
HEAD_192,13074682740029882593,B,17,2,0.8787878787878788,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_193,11113443395544827637,B,17,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_194,14900548317583414602,B,18,2,0.8787878787878788,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_195,10452036813506755169,B,14,3,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_196,5190390478279817402,B,14,3,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_197,10324029618192931110,B,14,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_198,2334923677233481550,B,14,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_199,13715252027559610794,B,17,2,0.8571428571428571,True,0.3286751918158566,0.1643375959079283,1,1,0.0
